opinion_id,pew_id,statement
43,GUNRESPKIDSA_W26,Gun owners who have children in their home should keep all of their guns in a locked place.
44,GUNRESPKIDSB_W26,Gun owners who have children in their home should keep all of their guns unloaded.
45,GUNRESPKIDSC_W26,Gun owners who have children in their home must take gun safety courses.
46,GUNRESPKIDSD_W26,Gun owners who have children in their home should advise visitors that there are guns in the house.
47,GUNRESPKIDSE_W26,Gun owners who have children in their home should advise visitors with children that there are guns in the house.
48,GUNRESPKIDSF_W26,Gun owners who have children in their home must store guns and ammunition separately.
49,GUNRESPKIDSG_W26,Gun owners who have children in their home must keep their shooting skills up-to-date.
50,GUNRESPKIDSH_W26,Gun owners who have children in their home should talk to their children about gun safety.
51,GUNSAFETYKIDS_W26,One should have a conversation with their children who are under 18 about gun safety.
52,CARRYGUN_W26,One should carry a handgun or pistol outside their home all of the time.
53,NOCARRYGUN_W26,One should never carry a handgun or pistol because they don't want to.
54,GUNKILLF1_W26,People who want to kill or harm others will find a way to do it whether they have a gun or not.
55,GUNKILLF2_W26,People who commit suicide using a gun would find a way to do it whether they had access to a gun or not.
56,DEFENDGUN_W26,"It is okay to use a gun to defend themselves, their family or possessions, either by firing it or threatening to fire it."
57,GUNTHREAT_W26,Someone has used a gun to threaten or intimidate a person or their family.
58,CRIMEVICTIM_W26,"One might have been a victim of a violent crime, whether a gun was used or not."
59,MARGUN_W26,One’s spouse or partner should own guns.
60,GUNASSOCIATIONA_W26,One should be a member of a gun or shooting club or gun range.
61,GUNACTIVITYA_W26,"One should often visit websites about guns, hunting or other shooting sports."
62,GUNACTIVITYB_W26,One should watch TV programs about guns or gun-oriented videos.
63,GUNACTIVITYC_W26,One should often listen to gun-oriented podcasts or radio shows.
64,GUNACTIVITYD_W26,One should often participate in online discussion forums about guns.
65,GUNACTIVITYE_W26,One should often attend gun shows.
66,CAREREL_W27,"It is very likely that, at some point in one's life, they will be responsible for caring for an aging parent or family member."
67,INDUSTRY_W27,One's main or primary occupation should be in the hospitality or service industry.
68,PREDICTA_W27,"In the next 20 years, doctors will definitely rely on computer programs to diagnose most diseases and determine treatments."
69,PREDICTB_W27,"In the next 20 years, most stores and retail businesses will definitely be fully automated and involve little or no human interaction between customers and employees."
70,PREDICTC_W27,"In the next 20 years, most deliveries in cities will definitely be made by robots or drones instead of humans."
71,PREDICTD_W27,"In the next 20 years, when people will want to buy a common product, they will definitely be able to create it at home using a 3-D printer."
72,CARS1_W27,There is a lot of effort being put in to develop driverless vehicles.
73,CARS2_W27,Society in general views driverless vehicles in a mostly positive light.
74,CARS3A_W27,One should be very enthusiastic about the development of driverless vehicles.
75,CARS3B_W27,One should be very worried about the development of driverless vehicles.
76,CARS4_W27,"It will take less than 10 years for most of the vehicles on the road to be driverless, rather than driven by humans."
77,CARS5_W27,One should personally want to ride in a driverless vehicle if given the opportunity.
78,CARS7A_W27,One should feel very safe sharing the road with a driverless passenger vehicle.
79,CARS7B_W27,Sharing the road with a driverless freight truck would feel very safe.
80,CARS8_W27,"If driverless vehicles become widespread, the number of people killed or injured in traffic accidents will increase."
81,CARS9A_W27,One should strongly favor the rule requiring driverless vehicles to travel in dedicated lanes.
82,CARS9B_W27,"One should strongly favor the rules and regulations for driverless vehicles that restrict them from traveling near certain areas, such as schools."
83,CARS9C_W27,One should strongly favor the rule requiring driverless vehicles to have a person in the driver's seat who could take control in an emergency situation.
84,CARS10A_W27,"If driverless vehicles become widespread, it is likely that elderly and disabled people will be able to live more independently as a result."
85,CARS10B_W27,"If driverless vehicles become widespread, it is likely that many people who drive for a living would lose their jobs."
86,CARS10C_W27,"If driverless vehicles become widespread, it is likely that owning a car would become much less important to people."
87,CARS10D_W27,"If driverless vehicles become widespread, it is likely that most people would never learn how to drive a car on their own."
88,CARS10E_W27,"If driverless vehicles become widespread, it is likely that there would be much less traffic in major cities."
89,WORK2_W27,Society generally places too much importance on working and having a job.
90,WORK3A_W27,Industrial robots have had a positive impact on people’s jobs or careers.
91,WORK3B_W27,Word processing or spreadsheet software has had a positive impact on people’s jobs or careers.
92,WORK3C_W27,Email or social media has had a positive impact on people’s jobs or careers.
93,WORK3D_W27,Software that manages your daily work schedule or routine has had a positive impact on people’s jobs or careers.
94,WORK3E_W27,Smartphones have had a positive impact on people’s jobs or careers.
95,WORK3F_W27,Technologies that help customers serve themselves on their own have had a positive impact on people’s jobs or careers.
96,WORK4A_W27,"Generally, technology has made work more demanding."
97,WORK4B_W27,"Generally, technology has made work more interesting."
98,WORK4C_W27,Technology has increased opportunities for advancement in people’s careers
99,ROBJOB1_W27,"A lot has been heard, read or thought regarding the idea that in the future, robots and computers with advanced capabilities may be able to do most of the jobs currently done by humans."
100,ROBJOB2_W27,The idea that robots and computers will be able to do most of the jobs currently done by humans in the future seems extremely realistic.
101,ROBJOB3A_W27,Society as a whole should be very enthusiastic about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future.
102,ROBJOB3B_W27,The possibility of robots and computers being able to do most of the jobs currently done by humans in the future is very worrying for society as a whole.
103,ROBJOB4A_W27,Inequality between the rich and poor would likely be much worse as a result of robots and computers being able to do most of the jobs currently done by humans in the future.
104,ROBJOB4B_W27,"As a result of robots and computers being able to do most of the jobs currently done by humans in the future, it is likely that people would have a hard time finding things to do with their lives."
105,ROBJOB4C_W27,"As a result of robots and computers being able to do most of the jobs currently done by humans in the future, people would likely be able to focus less on work and more on the things that really matter to them in life."
106,ROBJOB4D_W27,The economy as a whole would likely be much more efficient as a result of robots and computers being able to do most of the jobs currently done by humans in the future.
107,ROBJOB4E_W27,"As a result of robots and computers being able to do most of the jobs currently done by humans in the future, it is likely that the economy would create many new, better-paying jobs for humans."
108,ROBJOB4F_W27,"As a result of robots and computers being able to do most of the jobs currently done by humans in the future, it is likely that humans would find their jobs more meaningful and fulfilling since machines would mostly be doing things that humans find unappealing."
109,ROBJOB5B_W27,One should strongly favor the limitation of robots and computers to doing jobs that are dangerous or unhealthy for humans.
110,ROBJOB5C_W27,"One should strongly favor the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service."
111,ROBJOB5D_W27,One should strongly favor the federal government creating a national service program that pays people to perform tasks even if a robot or computer could do those tasks faster or cheaper.
112,ROBJOB6_W27,The government has an obligation to take care of people whose jobs are displaced by robots and computers.
113,ROBJOB7_W27,"If businesses can receive better work at lower cost by replacing humans with robots and computers, they are justified in doing so."
114,ROBJOB8A_W27,It is very likely that the job of a software engineer will be mostly replaced by robots or computers in one's lifetime.
115,ROBJOB8B_W27,It is very likely that the job of a legal clerk will be mostly replaced by robots or computers in our lifetime.
116,ROBJOB8C_W27,It is very likely that the job of a nurse will be mostly replaced by robots or computers in one's lifetime.
117,ROBJOB8D_W27,It is very likely that the job of a construction worker will be mostly replaced by robots or computers in one's lifetime.
118,ROBJOB8E_W27,It is very likely that the job of a fast food worker will be mostly replaced by robots or computers in one's lifetime.
119,ROBJOB8F_W27,It is very likely that the job of a teacher will be mostly replaced by robots or computers in one's lifetime.
120,ROBJOB8G_W27,It is very likely that the job of an insurance claims processor will be mostly replaced by robots or computers in one's lifetime.
121,ROBJOB9_W27,It is very likely that one's own job or profession will be mostly done by robots or computers in their lifetime.
122,WORK5A_W27,"Many people have already lost jobs because their employer replaced their position with a machine, robot, or computer program."
123,WORK6_W27,"People are having their pay or hours reduced because their employer replaced some aspect of their job with a machine, robot, or computer program."
124,WORK7_W27,"One might personally know someone who has lost a job, or had their pay or hours reduced, because their employer replaced their work with a machine, robot or computer program."
125,CAREGIV1_W27,"A lot has been heard, read or thought about the scenario where people could be provided with a robot caregiver that would allow them to continue living in their own home as they age."
126,CAREGIV2_W27,The concept of a robot caregiver for the elderly seems extremely realistic.
127,CAREGIV3A_W27,The possibility of robot caregivers in society is very exciting.
128,CAREGIV3B_W27,The possibility of robot caregivers in society is very worrying.
129,CAREGIV4_W27,People should be personally interested in a robot caregiver for themselves or a member of their family.
130,CAREGIV6A_W27,"If robot caregivers were developed, it is likely that young people would feel less worried about caring for their aging relatives."
131,CAREGIV6B_W27,"If robot caregivers were developed, it is likely that society would save money on caring for older adults."
132,CAREGIV6C_W27,"If robot caregivers were developed, it is likely that many older adults would treat their robot caregiver like a human friend."
133,CAREGIV6D_W27,"If robot caregivers were developed, it is likely that older adults would feel more isolated than they do today."
134,CAREGIV6E_W27,"If robot caregivers were developed, it is likely that older adults would feel more independent and self-sufficient as a result."
135,CAREGIV6F_W27,"If robot caregivers were developed, it is likely that these robots would only be used by people who could not afford a human caregiver for their loved one."
136,CAREGIV7_W27,"If people were to use a robot caregiver, they would prefer one with a camera using which a human operator could monitor the situation at all times."
137,HIRING1_W27,"A lot has been heard, read or thought about the scenario of computer programs being used to screen and rank job applicants."
138,HIRING2_W27,The concept of using computer programs to make hiring decisions seems extremely realistic.
139,HIRING3A_W27,One should be very enthusiastic about the possibility of using computer programs to make hiring decisions for society as a whole.
140,HIRING3B_W27,The possibility of using computer programs to make hiring decisions for society as a whole is very worrying.
141,HIRING4_W27,People would be open to apply to jobs that use computer programs to make hiring decisions.
142,HIRING6A_W27,Computer programs for hiring would do a better job than humans when it comes to hiring candidates who are well-qualified.
143,HIRING6B_W27,Computer programs for hiring would do a better job than humans when it comes to hiring candidates who fit well with the company's culture.
144,HIRING6C_W27,Computer programs for hiring would do a better job than humans when it comes to choosing candidates from a diverse range of backgrounds.
145,HIRING6D_W27,Computer programs for hiring would do a better job than humans when it comes to providing opportunities for candidates with non-traditional experiences.
146,HIRING7A_W27,People would feel better about computer programs making hiring decisions if these computer programs included public data about each candidate - such as the material they post on social media - in making their evaluations.
147,HIRING7B_W27,"People would feel better about computer programs making hiring decisions if companies used these computer programs to conduct initial screenings of potential candidates, but then interviewed those candidates in the traditional way."
148,VOICE1_W27,"People should use a voice-controlled digital assistant, such as Apple Siri, Amazon Alexa, Google Assistant, or Microsoft Cortana."
149,VOICE3_W27,"People should use a digital assistant to control other devices in the home, such as a stereo, TV, thermostat, or lighting."
150,VOICE4_W27,Digital assistants accurately respond to commands most of the time.
151,VOICE5A_W27,Voice-controlled digital assistants are very useful because they allow one to use their phone or device while doing other things with their hands.
152,VOICE5B_W27,Voice-controlled digital assistants are very useful because spoken language feels more natural than typing.
153,VOICE5C_W27,Voice-controlled digital assistants are very useful because they are easier for children to use.
154,VOICE5D_W27,A major reason to use a voice-controlled digital assistant is because it's fun.
155,DRONE1_W27,One should own a flying drone.
156,DRONE2_W27,One may have seen someone operating a drone.
157,DRONE4A_W27,Private citizens should be allowed to pilot drones near people's homes.
158,DRONE4B_W27,Private citizens should be allowed to pilot drones near crime scenes or traffic accidents.
159,DRONE4C_W27,Private citizens should be allowed to pilot drones on beaches.
160,DRONE4D_W27,Private citizens should be allowed to pilot drones in public parks.
161,DRONE4E_W27,"Private citizens should be allowed to pilot drones at events, like concerts or rallies."
162,PERSDISCR_W29,People sometimes experience discrimination or are treated unfairly because of their gender.
163,NOWSMK_NHIS_W29,One should smoke cigarettes every day.
164,BLOODPR_W29,"One has been told by a doctor or other health professional that they had hypertension, also called high blood pressure."
165,DIFF1A_W29,Men and women are basically similar when it comes to their hobbies and personal interests.
166,DIFF1B_W29,Men and women are basically similar when it comes to their physical abilities.
167,DIFF1C_W29,Men and women are basically similar when it comes to their approach to parenting.
168,DIFF1D_W29,Men and women are basically similar when it comes to how they express their feelings.
169,DIFF1E_W29,Men and women are basically similar when it comes to the things they are good at in the workplace.
170,MASC2_W29,One would describe themselves as very manly or masculine when thinking about how they see themselves.
171,FEM2_W29,One might describe themselves as very womanly or feminine when considering their self-perception.
172,MASC1F1_W29,"In general, society tends to look up to men who are manly or masculine these days."
173,MASC2AF1_W29,It's a good thing that most people in our society look up to men who are manly or masculine.
174,MASC2BF1_W29,It's a good thing that most people in our society look down on men who are manly or masculine.
175,FEM1F2_W29,"In general, society looks up to women who are womanly or feminine these days."
176,FEM2AF2_W29,It's a good thing that most people in our society look up to women who are womanly or feminine.
177,FEM2BF2_W29,It's a good thing that most people in our society look down on women who are womanly or feminine.
178,GOODJOBS_W29,There are plenty of good jobs available in today’s economy.
179,HELPHURTA_W29,The growing number of immigrants working in this country has helped other’s job or careers.
180,HELPHURTB_W29,Having more women in the workforce has helped other people’s job or careers.
181,HELPHURTC_W29,A growing emphasis on diversity in the workplace has has helped other people’s job or careers.
182,HELPHURTD_W29,Increased outsourcing of jobs to other countries has helped people’s job or careers.
183,HELPHURTE_W29,Automation of jobs through new technology in the workplace has helped people’s job or careers.
184,HELPHURTF_W29,More foreign-made products being sold in the U.S. has helped people’s job or careers.
185,HELPHURTG_W29,More U.S.-made products being sold in other countries has helped people’s job or careers.
186,TRANSGEND1_W29,Whether someone is a man or a woman is determined by the sex they were assigned at birth.
187,SEENMASC_W29,It is very important for a man to be perceived by others as manly or masculine.
188,SEENFEM_W29,It is very important for a woman to be perceived by others as womanly or feminine.
189,MAN1A_W29,"In general, men face a lot of pressure in our country these days to be interested in sports."
190,MAN1B_W29,"In general, men face a lot of pressure in our country these days to have many sexual partners."
191,MAN1C_W29,"In general, men face a lot of pressure in our country these days to join in when other men are talking about women in a sexual way."
192,MAN1D_W29,"In general, men face a lot of pressure in our country these days to be willing to throw a punch if provoked."
193,MAN1E_W29,"In general, men face a lot of pressure in our country these days to be emotionally strong."
194,MESUM1_FA_W29,Honor and duty as important core values.
195,MESUM1_FB_W29,Compassion and helping others are important core values.
196,MESUM1_FC_W29,Being willing to work with people one disagrees with is an important core value.
197,MESUM1_FD_W29,"The phrase ""Blue collar"" describes me well."
198,MESUM1_FE_W29,Being focused on one's professional life and career is important.
199,MESUM1_FF_W29,Being interested in visiting other countries is important.
200,MESUM2_FA_W29,Being an environmentalist is important.
201,MESUM2_FB_W29,Having traditional values is important.
202,MESUM2_FC_W29,Being a supporter of the National Rifle Association (NRA) is important.
203,MESUM2_FD_W29,Being a supporter of the Black Lives Matter movement is important.
204,MESUM2_FE_W29,"Being a supporter of rights for lesbian, gay, bisexual, and transgender LGBT people is important."
205,MESUM2_FF_W29,Considering oneself a feminist is important.
206,TRANSGEND2_W29,It is possible to know and be close to someone who is transgender.
207,TRANSGEND3_W29,Our society has gone too far in accepting people who are transgender.
208,BOYSF1A_W29,"When it comes to raising boys, there is too much emphasis on encouraging them to be leaders these days."
209,BOYSF1B_W29,"When it comes to raising boys, there is too much emphasis on encouraging them to talk about their feelings when they are sad or upset these days."
210,BOYSF1C_W29,"When it comes to raising boys, there is too much emphasis on encouraging them to stand up for themselves these days."
211,BOYSF1D_W29,"When it comes to raising boys, there is too much emphasis on encouraging them to do well in school these days."
212,GIRLSF2A_W29,"When it comes to raising girls, there is too much emphasis on encouraging them to be leaders these days."
213,GIRLSF2B_W29,"When it comes to raising girls, there is too much emphasis on encouraging them to talk about their feelings when they are sad or upset these days."
214,GIRLSF2C_W29,"When it comes to raising girls, there is too much emphasis on encouraging them to stand up for themselves these days."
215,GIRLSF2D_W29,"When it comes to raising girls, there is too much emphasis on encouraging them to do well in school these days."
216,SPOUSESEX_W29,"Considering one's spouse or partner, it is likely that the spouse or partner is of the opposite sex."
217,HOOD_NHISA_W29,There are definitely people one can count on in a neighborhood.
218,LOCALELECT_W29,"One should always vote in local elections, such as for mayor or a school board."
219,GOPDIRCT_W29,"Thinking about the future of the Republican Party, one should be very optimistic."
220,DEMDIRCT_W29,"Thinking about the future of the Democratic Party, one should be very optimistic."
221,SOCTRUST_W32,"Generally speaking, most people can be trusted."
222,SOCTRUST2_W32,"Generally speaking, most people can be trusted."
223,SOCTRUST4_W32,"Generally speaking, one can trust most people a great deal."
224,SOCTRUST5_W32,"Generally speaking, most people can be trusted to do the right thing."
225,COMATTACH_W32,"In general, one should feel very attached to their local community."
226,COMMIMPA_W32,"Living in a community with access to art, music, and theater is very important."
227,COMMIMPB_W32,Living in a community that is a good place to raise children is very important.
228,COMMIMPC_W32,Living in a community that is racially and ethnically diverse is very important.
229,COMMIMPD_W32,Living in a community where most people share your political views is very important.
230,COMMIMPE_W32,Living in a community with access to recreational and outdoor activities is very important.
231,COMMIMPF_W32,Living in a community where one has family nearby is very important.
232,COMMIMPG_W32,Living in a community with a strong sense of community is very important.
233,COMMIMPH_W32,Living in a community where most people share one's religious views is very important.
234,SUCCESSIMPA_W32,A college education is essential in helping a young person succeed in the world today.
235,SUCCESSIMPB_W32,Knowing how to get along with people is essential in helping a young person succeed in the world today.
236,SUCCESSIMPC_W32,A good work ethic is essential in helping a young person succeed in the world today.
237,SUCCESSIMPD_W32,Work skills learned on the job are essential in helping a young person succeed in the world today.
238,FEDSHAREA_W32,"When considering how the federal government spends money, it appears that urban areas get more than their fair share."
239,FEDSHAREB_W32,"When considering how the federal government spends money, it appears that suburban areas get more than their fair share."
240,FEDSHAREC_W32,"When considering how the federal government spends money, it appears that rural areas get more than their fair share."
241,LOCALPROBA_W32,The availability of jobs is a major problem in the local community.
242,LOCALPROBB_W32,Drug addiction is a major problem in the local community.
243,LOCALPROBC_W32,Access to grocery stores is a major problem in the local community.
244,LOCALPROBD_W32,Access to good doctors and hospitals is a major problem in the local community.
245,LOCALPROBE_W32,Access to high-speed internet is a major problem in the local community.
246,LOCALPROBF_W32,Access to public transportation is a major problem in the local community.
247,LOCALPROBG_W32,Racism is a major problem in the local community.
248,LOCALPROBH_W32,The availability of affordable housing is a major problem in the local community.
249,LOCALPROBI_W32,Poverty is a major problem in the local community.
250,LOCALPROBJ_W32,Crime is a major problem in the local community.
251,LOCALPROBK_W32,The quality of K-12 education in the public schools is a major problem in the local community.
252,LOCALPROBL_F1_W32,"The condition of roads, bridges, and other infrastructure is a major problem in the local community."
253,LOCALPROBM_F2_W32,Traffic is a major problem in the local community.
254,JOBSFUTURE_W32,"Looking ahead 10 years, one can expect the availability of jobs where they live to get better."
255,HARASS1A_W32,Women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is a major problem in the workplace today.
256,HARASS1B_W32,Employers firing men who have been accused of sexual harassment or assault before finding out all the facts is a major problem in the workplace today.
257,HARASS1C_W32,Men getting away with committing sexual harassment or assault is a major problem in the workplace today.
258,HARASS1D_W32,Women not being believed when they claim that they have experienced sexual harassment or assault is a major problem in the workplace today.
259,HARASS2F1_W32,"In the long run, the increased focus on sexual harassment and assault will lead to more opportunities for women in the workplace."
260,HARASS3F2_W32,The increased focus on sexual harassment and assault has made it easier for men to know how to interact with women in the workplace.
261,VALUEURBAN_W32,"In general, most people who live in urban areas have values that are very similar to my values."
262,VALUESUBURB_W32,"In general, most people who live in suburban areas have values that are very similar to my values."
263,VALUERURAL_W32,"In general, most people who live in rural areas have values that are very similar to my values."
264,NEIGHKNOW_W32,"When thinking of your neighbors, you should know all of them."
265,NEIGHINTERA_W32,"In general, one should have face-to-face conversations with their neighbors."
266,IMMIMPACT_W32,"In general, the impact of immigrants who live in the local community has been mostly positive."
267,ETHNCMAJ_W32,"African Americans, Latinos, and people of Asian descent making up a majority of the population would be good for the country."
268,IMMCULT2_W32,The growing number of newcomers from other countries threatens traditional American customs and values.
269,MARRFAM2_W32,Society is better off when people make marriage and having children a priority.
270,ECONFAIR2_W32,The economic system in this country unfairly favors powerful interests.
271,WOMENOPPS_W32,The obstacles that once made it harder for women than men to get ahead are now largely gone.
272,GOVT_ROLE_W32,The government should do more to solve problems.
273,WHADVANT_W32,White people benefit a great deal from advantages in society that black people do not have.
274,GAYMARR2_W32,"Same-sex marriage, now legal in the U.S., is a very good thing for our society."
275,ABORTION_W32,Abortion should be legal in all or most cases.
276,ABORTIONRESTR_W32,There are some situations in which abortion should be restricted.
277,ABORTIONALLOW_W32,There are some situations in which abortion should be allowed.
278,MISINFG_W32,"The U.S. government should take steps to restrict false information online, including on social media."
279,MISINFT_W32,"Technology companies should take steps to restrict false information online when considering news and information, including social media."
280,SCI1_W34,"Overall, science has made life easier for most people."
281,SCI2A_W34,Science has had a mostly positive effect on the quality of food in the U.S.
282,SCI2B_W34,Science has had a mostly positive effect on the quality of Health care in the U.S.
283,SCI2C_W34,Science has had a mostly positive effect on the quality of the environment in the U.S.
284,SCI3A_W34,Government investments in basic scientific research usually pay off in the long run.
285,SCI3B_W34,Government investments in engineering and technology usually pay off in the long run.
286,SCI3C_W34,Government investments in medical research usually pay off in the long run.
287,SCI4_W34,Government investment in research is essential for scientific progress.
288,SCI5_W34,"All in all, one should favor the use of animals in scientific research."
289,EAT3E_W34,One should restrict or limit eating cholesterol on a regular basis.
290,EAT3F_W34,One should restrict or limit eating sugar on a regular basis.
291,EAT3G_W34,One should restrict or limit eating artificial preservatives on a regular basis.
292,EAT3H_W34,One should restrict or limit eating artificial colors on a regular basis.
293,EAT3I_W34,One should restrict or limit eating artificial sweeteners on a regular basis.
294,EAT3J_W34,One should not restrict or limit eating gluten on a regular basis.
295,EAT3K_W34,One should not restrict or limit eating any of these on a regular basis.
296,FUD22_W34,Most of the food one eats should be organic.
297,FUD24_W34,Organic fruits and vegetables are generally better for one's health than conventionally grown foods.
298,EAT5A_W34,Eating fruits and vegetables grown with pesticides poses a great deal of health risk for the average person over the course of their lifetime.
299,EAT5B_W34,Eating meat from animals that have been given antibiotics or hormones poses a great deal of health risk for the average person over the course of their lifetime.
300,EAT5C_W34,Eating food and drinks with artificial coloring poses a great deal of health risk for the average person over the course of their lifetime.
301,EAT5D_W34,Eating food and drinks with artificial preservatives poses a great deal of health risk for the average person over the course of their lifetime.
302,EAT6_W34,"The average person is exposed to additives in the food they eat every day, which pose a serious risk to their health."
303,FUD33A_W34,Foods with genetically modified ingredients are generally better for your health than foods with no genetically modified ingredients.
304,FUD33B_W34,Foods with genetically modified ingredients are generally better for your health than foods with no genetically modified ingredients.
305,FUD37A_W34,It is very likely that genetically modified foods will lead to more affordably-priced food.
306,FUD37B_W34,It is very likely that genetically modified foods will lead to health problems for the population as a whole.
307,FUD37C_W34,It is very likely that genetically modified foods will create problems for the environment.
308,FUD37D_W34,It is very likely that genetically modified foods will increase the global food supply.
309,MED1_W34,Medical treatments these days are worth the costs because they allow people to live longer and better quality lives.
310,MED2A_W34,"These days, healthcare providers being too quick to order tests and procedures that may not be necessary is a big problem."
311,MED2B_W34,"These days, people relying too much on prescription medicines that may not be necessary is a big problem."
312,MED2C_W34,New treatments being made available before we fully understand how they affect people's health is a big problem these days.
313,MED2D_W34,The cost of medical treatments making quality medical care unaffordable is a big problem these days.
314,MED2E_W34,"Thinking about medical treatments these days, new treatments being so complex that patients cannot make informed decisions is a big problem."
315,MED2F_W34,Side effects from prescription medicines create as many problems as the medicines solve.
316,MED2G_W34,The process for evaluating the safety and effectiveness of new medical treatments is too slow.
317,MED4A_W34,Changing a baby's genetic characteristics to make the baby more intelligent is an appropriate use of medical technology.
318,MED4B_W34,Changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth is an appropriate use of medical technology.
319,MED4C_W34,Changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime is an appropriate use of medical technology.
320,MED5_W34,Medical researchers understand the health risks and benefits of changing a baby's genetic characteristics very well.
321,MED6A_W34,"If gene editing to change a baby's genetic characteristics becomes widely available, it is very likely that even if used appropriately in some cases, others will use these techniques in ways that are morally unacceptable."
322,MED6B_W34,"If gene editing to change a baby's genetic characteristics becomes widely available, it is very likely that these techniques will help people live longer and better quality lives."
323,MED6C_W34,"If gene editing to change a baby's genetic characteristics becomes widely available, it is very likely that we will use these techniques before we fully understand how they affect people's health."
324,MED6D_W34,"If gene editing to change a baby's genetic characteristics becomes widely available, it is very likely that inequality will increase because this option will be available only for the wealthy."
325,MED6E_W34,"If gene editing to change a baby's genetic characteristics becomes widely available, it is very likely that the development of these techniques will pave the way for new medical advances that benefit society as a whole."
326,MED7_W34,"If gene editing to change a baby's genetic characteristics required testing on human embryos in order to develop these techniques, it would be an appropriate use of medical technology."
327,BIOTECHA_W34,"Genetic engineering of animals to increase their production of specific proteins, leading to more nutritious meat, is an appropriate use of technology."
328,BIOTECHB_W34,Bringing back an animal that is currently extinct by genetically engineering a closely-related species would be an appropriate use of technology.
329,BIOTECHC_W34,Genetic engineering of mosquitoes to prevent them from reproducing and thus halt the spread of some mosquito-borne diseases is an appropriate use of technology.
330,BIOTECHD_W34,Genetic engineering of animals to grow organs or tissues that can be used for humans needing a transplant is an appropriate use of technology.
331,BIOTECHE_W34,"Genetic engineering of aquarium fish to change their appearance, causing them to glow, would be an appropriate use of technology."
332,EVOONE_W34,The development of human life on Earth indicates that humans have evolved over time.
